PhiDot;Phi;Temp;kf 
0.1;0.7;200;624.04
1.5;0.04;200;317.44
1.5;0.06;200;369.73
1.5;0.08;200;409.55
1.5;0.1;200;440.96
1.5;0.12;200;466.46
1.5;0.14;200;484.17
1.5;0.16;200;498.79
1.5;0.18;200;510.6
1.5;0.2;200;521.41
1.5;0.22;200;531.28
1.5;0.24;200;539.87
1.5;0.26;200;547.78
1.5;0.28;200;555.22
1.5;0.3;200;561.73
1.5;0.32;200;567.77
1.5;0.34;200;573.3
1.5;0.36;200;577.13
1.5;0.38;200;581.26
1.5;0.4;200;584.98
1.5;0.42;200;588.23
1.5;0.44;200;591.02
1.5;0.46;200;594.28
1.5;0.48;200;596.6
1.5;0.5;200;599.26
1.5;0.52;200;601.23
1.5;0.54;200;603.11
1.5;0.56;200;605.44
1.5;0.58;200;607.3
1.5;0.6;200;609.16
1.5;0.62;200;610.55
1.5;0.64;200;612.1
1.5;0.66;200;614.27
1.5;0.68;200;615.67
1.5;0.7;200;616.13
90;0.04;200;354.93
90;0.06;200;403.19
90;0.08;200;434.66
90;0.1;200;460.95
90;0.12;200;484.42
90;0.14;200;504.63
90;0.16;200;523.44
90;0.18;200;540.83
90;0.2;200;556.41
90;0.22;200;571.51
90;0.24;200;584.86
90;0.26;200;597.97
90;0.28;200;607.39
90;0.3;200;615.67
90;0.32;200;622.95
90;0.34;200;629.15
90;0.36;200;634.79
90;0.38;200;639.7
90;0.4;200;644.5
90;0.42;200;648.68
90;0.44;200;652.41
90;0.46;200;655.2
90;0.48;200;657.99
90;0.5;200;660.31
90;0.52;200;662.17
90;0.54;200;664.11
90;0.56;200;665.43
90;0.58;200;667.29
90;0.6;200;668.22
90;0.62;200;669.61
90;0.64;200;670.08
90;0.66;200;671.01
90;0.68;200;671.94
90;0.7;200;672.4
0.1;0.04;300;293.99
0.1;0.06;300;368.52
0.1;0.08;300;424.2
0.1;0.1;300;470.25
0.1;0.12;300;504.51
0.1;0.14;300;532.61
0.1;0.16;300;556.11
0.1;0.18;300;574.63
0.1;0.2;300;591.26
0.1;0.22;300;604.59
0.1;0.24;300;616.05
0.1;0.26;300;626.46
0.1;0.28;300;635.29
0.1;0.3;300;642.82
0.1;0.32;300;650.35
0.1;0.34;300;656.9
0.1;0.36;300;663.1
0.1;0.38;300;668.35
0.1;0.4;300;673.61
0.1;0.42;300;678.4
0.1;0.44;300;682.35
0.1;0.46;300;685.64
0.1;0.48;300;688.99
0.1;0.5;300;691.76
0.1;0.52;300;693.64
0.1;0.54;300;695.05
0.1;0.56;300;696.84
0.1;0.58;300;698.35
