PhiDot;Phi;Temp;kf
0.1;0.64;200;843.61
0.1;0.66;200;846.64
0.1;0.68;200;850.16
0.1;0.7;200;853.43
1.5;0.04;200;494.61
1.5;0.06;200;563.06
1.5;0.08;200;613.91
1.5;0.1;200;653.44
1.5;0.12;200;682.01
1.5;0.14;200;703.99
1.5;0.16;200;722.95
1.5;0.18;200;740.03
1.5;0.2;200;755.24
1.5;0.22;200;768.2
1.5;0.24;200;780.48
1.5;0.26;200;791.67
1.5;0.28;200;801.31
1.5;0.3;200;810.79
1.5;0.32;200;818.4
1.5;0.34;200;826
1.5;0.36;200;832.67
1.5;0.38;200;838.88
1.5;0.4;200;844.08
1.5;0.42;200;848.66
1.5;0.44;200;853.9
1.5;0.46;200;858.54
1.5;0.48;200;862.48
1.5;0.5;200;867
1.5;0.52;200;871.07
1.5;0.54;200;874.96
1.5;0.56;200;879.17
1.5;0.58;200;881.97
1.5;0.6;200;884.78
1.5;0.62;200;888.98
1.5;0.64;200;891.33
1.5;0.66;200;894.61
1.5;0.68;200;898.23
1.5;0.7;200;900.69
90;0.04;200;551.46
90;0.06;200;620.52
90;0.08;200;672.7
90;0.1;200;715.12
90;0.12;200;750.64
90;0.14;200;781.07
90;0.16;200;804.75
90;0.18;200;822.76
90;0.2;200;838.44
90;0.22;200;850.69
90;0.24;200;862.06
90;0.26;200;872.01
90;0.28;200;881.22
90;0.3;200;889.7
90;0.32;200;895.83
90;0.34;200;902.88
90;0.36;200;908.59
90;0.38;200;913.36
90;0.4;200;917.99
90;0.42;200;921.76
90;0.44;200;925.78
90;0.46;200;929.31
90;0.48;200;932.49
90;0.5;200;935.44
90;0.52;200;938.25
90;0.54;200;940.7
90;0.56;200;943.55
90;0.58;200;946.28
90;0.6;200;948.37
90;0.62;200;950.52
90;0.64;200;952.25
90;0.66;200;954.19
90;0.68;200;955.71
90;0.7;200;958.07
0.1;0.04;300;470.84
0.1;0.06;300;539.05
0.1;0.08;300;589.57
0.1;0.1;300;631.19
