PhiDot;Phi;Temp;kf
0.1;0.58;200;862.88
0.1;0.60;200;867.40
0.1;0.62;200;870.80
0.1;0.64;200;874.92
0.1;0.66;200;878.21
0.1;0.68;200;881.97
0.1;0.70;200;885.26
1.5;0.04;200;429.78
1.5;0.06;200;499.02
1.5;0.08;200;551.87
1.5;0.10;200;591.39
1.5;0.12;200;622.65
1.5;0.14;200;649.08
1.5;0.16;200;672.70
1.5;0.18;200;693.05
1.5;0.20;200;712.41
1.5;0.22;200;729.44
1.5;0.24;200;743.75
1.5;0.26;200;756.93
1.5;0.28;200;770.68
1.5;0.30;200;780.31
1.5;0.32;200;789.70
1.5;0.34;200;799.22
1.5;0.36;200;807.78
1.5;0.38;200;815.78
1.5;0.40;200;823.83
1.5;0.42;200;829.79
1.5;0.44;200;835.69
1.5;0.46;200;841.24
1.5;0.48;200;846.24
1.5;0.50;200;851.37
1.5;0.52;200;856.58
1.5;0.54;200;860.42
1.5;0.56;200;864.58
1.5;0.58;200;868.81
1.5;0.60;200;872.80
1.5;0.62;200;877.56
1.5;0.64;200;881.03
1.5;0.66;200;885.19
1.5;0.68;200;888.54
1.5;0.70;200;892.78
90;0.04;200;484.90
90;0.06;200;560.61
90;0.08;200;624.69
90;0.10;200;674.88
90;0.12;200;717.80
90;0.14;200;752.43
90;0.16;200;781.77
90;0.18;200;807.74
90;0.20;200;829.47
90;0.22;200;846.98
90;0.24;200;861.66
90;0.26;200;874.45
90;0.28;200;886.33
90;0.30;200;897.37
90;0.32;200;907.23
90;0.34;200;916.28
90;0.36;200;924.38
90;0.38;200;931.91
90;0.40;200;938.54
90;0.42;200;944.24
90;0.44;200;949.47
90;0.46;200;954.37
90;0.48;200;959.07
90;0.50;200;963.27
90;0.52;200;968.01
90;0.54;200;971.77
90;0.56;200;976.00
90;0.58;200;979.29
90;0.60;200;983.05
90;0.62;200;986.63
90;0.64;200;989.16
90;0.66;200;992.45
90;0.68;200;995.74
90;0.70;200;998.57
0.1;0.04;300;434.23
0.1;0.06;300;501.97
0.1;0.08;300;551.36
0.1;0.10;300;589.50
0.1;0.12;300;620.40
0.1;0.14;300;643.61
0.1;0.16;300;664.30
0.1;0.18;300;682.96
0.1;0.20;300;699.66
0.1;0.22;300;714.78
0.1;0.24;300;728.88
0.1;0.26;300;741.30
0.1;0.28;300;751.90
0.1;0.30;300;761.79
0.1;0.32;300;770.15
0.1;0.34;300;778.05
0.1;0.36;300;784.93
0.1;0.38;300;791.53
0.1;0.40;300;797.26
0.1;0.42;300;802.50
0.1;0.44;300;806.87
0.1;0.46;300;810.25
0.1;0.48;300;813.84
0.1;0.50;300;816.94
0.1;0.52;300;819.85
0.1;0.54;300;822.21
0.1;0.56;300;824.75
0.1;0.58;300;826.86
0.1;0.60;300;829.18
0.1;0.62;300;830.70
0.1;0.64;300;832.43
0.1;0.66;300;834.29
0.1;0.68;300;835.69
0.1;0.70;300;838.01
1.5;0.04;300;415.37
1.5;0.06;300;486.72
1.5;0.08;300;532.30
1.5;0.10;300;569.98
1.5;0.12;300;601.34
1.5;0.14;300;628.67
1.5;0.16;300;652.22
1.5;0.18;300;672.92
1.5;0.20;300;690.52
1.5;0.22;300;704.59
1.5;0.24;300;715.86
1.5;0.26;300;725.75
1.5;0.28;300;735.04
1.5;0.30;300;743.19
1.5;0.32;300;750.63
1.5;0.34;300;757.14
1.5;0.36;300;762.72
1.5;0.38;300;768.35
1.5;0.40;300;773.87
1.5;0.42;300;777.59
1.5;0.44;300;781.31
1.5;0.46;300;784.62
1.5;0.48;300;788.74
1.5;0.50;300;791.84
1.5;0.52;300;794.32
1.5;0.54;300;797.11
1.5;0.56;300;799.90
1.5;0.58;300;801.76
1.5;0.60;300;804.55
1.5;0.62;300;806.06
1.5;0.64;300;808.26
1.5;0.66;300;810.12
1.5;0.68;300;811.98
1.5;0.70;300;814.00
90;0.04;300;463.49
90;0.06;300;524.19
90;0.08;300;569.05
90;0.10;300;606.86
90;0.12;300;638.25
90;0.14;300;663.53
90;0.16;300;684.82
90;0.18;300;704.24
90;0.20;300;721.66
90;0.22;300;737.09
90;0.24;300;749.89
90;0.26;300;761.54
90;0.28;300;772.35
90;0.30;300;781.77
90;0.32;300;790.85
90;0.34;300;798.97
90;0.36;300;806.41
90;0.38;300;812.94
90;0.40;300;818.64
90;0.42;300;824.35
90;0.44;300;829.64
90;0.46;300;834.29
90;0.48;300;838.94
90;0.50;300;842.66
90;0.52;300;847.28
90;0.54;300;851.02
90;0.56;300;854.28
90;0.58;300;857.87
90;0.60;300;861.25
90;0.62;300;864.16
90;0.64;300;867.76
90;0.66;300;871.38
90;0.68;300;874.29
90;0.70;300;878.91
0.1;0.04;400;490.19
0.1;0.06;400;563.63
0.1;0.08;400;614.79
0.1;0.10;400;651.27
0.1;0.12;400;678.38
0.1;0.14;400;698.45
0.1;0.16;400;714.83
0.1;0.18;400;727.41
0.1;0.20;400;738.43
0.1;0.22;400;748.33
0.1;0.24;400;757.18
0.1;0.26;400;766.03
0.1;0.28;400;773.78
0.1;0.30;400;781.40
0.1;0.32;400;787.72
0.1;0.34;400;793.05
0.1;0.36;400;798.34
0.1;0.38;400;802.93
0.1;0.40;400;807.99
0.1;0.42;400;812.07
0.1;0.44;400;816.05
0.1;0.46;400;819.59
0.1;0.48;400;823.35
0.1;0.50;400;826.67
0.1;0.52;400;829.99
0.1;0.54;400;832.95
0.1;0.56;400;835.97
0.1;0.58;400;838.62
0.1;0.60;400;841.28
0.1;0.62;400;843.93
0.1;0.64;400;846.26
0.1;0.66;400;848.80
0.1;0.68;400;851.01
0.1;0.70;400;853.67
1.5;0.04;400;524.79
1.5;0.06;400;575.81
1.5;0.08;400;613.32
1.5;0.10;400;638.18
1.5;0.12;400;657.35
1.5;0.14;400;673.97
1.5;0.16;400;687.91
1.5;0.18;400;701.73
1.5;0.20;400;714.03
1.5;0.22;400;724.67
1.5;0.24;400;734.61
1.5;0.26;400;743.68
1.5;0.28;400;752.00
1.5;0.30;400;759.62
1.5;0.32;400;766.03
1.5;0.34;400;772.05
1.5;0.36;400;777.30
1.5;0.38;400;782.30
1.5;0.40;400;786.84
1.5;0.42;400;790.82
1.5;0.44;400;795.02
1.5;0.46;400;798.57
1.5;0.48;400;801.66
1.5;0.50;400;805.20
1.5;0.52;400;808.30
1.5;0.54;400;811.40
1.5;0.56;400;814.06
1.5;0.58;400;816.49
1.5;0.60;400;819.34
1.5;0.62;400;821.36
1.5;0.64;400;823.91
1.5;0.66;400;826.01
1.5;0.68;400;828.22
1.5;0.70;400;830.43
90;0.04;400;537.49
90;0.06;400;576.36
90;0.08;400;602.92
90;0.10;400;623.80
90;0.12;400;641.43
90;0.14;400;657.73
90;0.16;400;672.34
90;0.18;400;685.46
90;0.20;400;697.49
90;0.22;400;708.52
90;0.24;400;718.88
90;0.26;400;728.75
90;0.28;400;737.26
90;0.30;400;745.42
90;0.32;400;752.98
90;0.34;400;760.06
90;0.36;400;766.22
90;0.38;400;771.95
90;0.40;400;777.32
90;0.42;400;782.19
90;0.44;400;785.73
90;0.46;400;789.73
90;0.48;400;793.48
90;0.50;400;796.80
90;0.52;400;799.89
90;0.54;400;803.07
90;0.56;400;805.69
90;0.58;400;808.31
90;0.60;400;810.96
90;0.62;400;813.17
90;0.64;400;815.28
90;0.66;400;817.38
90;0.68;400;819.15
90;0.70;400;820.92
0.1;0.04;500;383.35
0.1;0.06;500;414.17
0.1;0.08;500;438.17
0.1;0.10;500;460.50
0.1;0.12;500;478.73
0.1;0.14;500;494.77
0.1;0.16;500;509.25
0.1;0.18;500;522.19
0.1;0.20;500;533.60
0.1;0.22;500;544.73
0.1;0.24;500;554.95
0.1;0.26;500;565.07
0.1;0.28;500;574.66
0.1;0.30;500;583.38
0.1;0.32;500;591.21
0.1;0.34;500;598.75
0.1;0.36;500;605.85
0.1;0.38;500;612.50
0.1;0.40;500;618.78
0.1;0.42;500;625.06
0.1;0.44;500;630.67
0.1;0.46;500;636.46
0.1;0.48;500;642.22
0.1;0.50;500;648.66
0.1;0.52;500;655.09
0.1;0.54;500;660.86
0.1;0.56;500;667.07
0.1;0.58;500;673.08
0.1;0.60;500;679.36
0.1;0.62;500;685.86
0.1;0.64;500;691.92
0.1;0.66;500;698.64
0.1;0.68;500;705.37
0.1;0.70;500;712.98
1.5;0.04;500;472.94
1.5;0.06;500;529.70
1.5;0.08;500;572.08
1.5;0.10;500;601.66
1.5;0.12;500;620.71
1.5;0.14;500;635.57
1.5;0.16;500;648.10
1.5;0.18;500;659.01
1.5;0.20;500;669.06
1.5;0.22;500;678.26
1.5;0.24;500;686.76
1.5;0.26;500;694.37
1.5;0.28;500;701.53
1.5;0.30;500;708.54
1.5;0.32;500;715.20
1.5;0.34;500;721.19
1.5;0.36;500;727.10
1.5;0.38;500;732.72
1.5;0.40;500;738.33
1.5;0.42;500;743.72
1.5;0.44;500;748.69
1.5;0.46;500;754.06
1.5;0.48;500;758.47
1.5;0.50;500;763.30
1.5;0.52;500;768.43
1.5;0.54;500;773.20
1.5;0.56;500;778.15
1.5;0.58;500;783.29
1.5;0.60;500;787.95
1.5;0.62;500;792.72
1.5;0.64;500;797.49
1.5;0.66;500;802.45
1.5;0.68;500;807.91
1.5;0.70;500;814.12
90;0.04;500;537.54
90;0.06;500;595.78
90;0.08;500;638.85
90;0.10;500;669.13
90;0.12;500;690.95
90;0.14;500;705.04
90;0.16;500;716.64
90;0.18;500;726.29
90;0.20;500;734.31
90;0.22;500;741.69
90;0.24;500;748.25
90;0.26;500;754.48
90;0.28;500;759.78
90;0.30;500;764.82
90;0.32;500;769.10
90;0.34;500;773.31
90;0.36;500;777.08
90;0.38;500;780.85
90;0.40;500;784.18
90;0.42;500;787.29
90;0.44;500;790.39
90;0.46;500;793.10
90;0.48;500;795.94
90;0.50;500;798.38
90;0.52;500;800.82
90;0.54;500;803.70
90;0.56;500;806.14
90;0.58;500;809.05
90;0.60;500;812.57
90;0.62;500;815.23
90;0.64;500;818.34
90;0.66;500;821.22
90;0.68;500;824.55
90;0.70;500;827.88
0.1;0.04;600;256.93
0.1;0.06;600;276.96
0.1;0.08;600;288.38
0.1;0.10;600;297.04
0.1;0.12;600;304.42
0.1;0.14;600;310.66
0.1;0.16;600;316.01
0.1;0.18;600;320.63
0.1;0.20;600;324.70
0.1;0.22;600;328.04
0.1;0.24;600;331.30
0.1;0.26;600;334.19
0.1;0.28;600;337.17
0.1;0.30;600;339.40
0.1;0.32;600;341.41
0.1;0.34;600;343.63
0.1;0.36;600;345.42
0.1;0.38;600;347.42
0.1;0.40;600;349.20
0.1;0.42;600;350.76
0.1;0.44;600;352.99
0.1;0.46;600;354.78
0.1;0.48;600;356.78
0.1;0.50;600;359.01
0.1;0.52;600;361.01
0.1;0.54;600;363.02
0.1;0.56;600;364.58
0.1;0.58;600;366.18
0.1;0.60;600;368.37
0.1;0.62;600;370.59
0.1;0.64;600;372.82
0.1;0.66;600;375.05
0.1;0.68;600;376.83
0.1;0.70;600;379.06
1.5;0.04;600;324.20
1.5;0.06;600;356.05
1.5;0.08;600;377.20
1.5;0.10;600;392.43
1.5;0.12;600;404.01
1.5;0.14;600;414.66
1.5;0.16;600;423.35
1.5;0.18;600;430.92
1.5;0.20;600;438.10
1.5;0.22;600;444.56
1.5;0.24;600;450.50
1.5;0.26;600;455.93
1.5;0.28;600;461.05
1.5;0.30;600;465.99
1.5;0.32;600;470.41
1.5;0.34;600;474.42
1.5;0.36;600;478.88
1.5;0.38;600;482.89
1.5;0.40;600;486.67
1.5;0.42;600;490.68
1.5;0.44;600;494.47
1.5;0.46;600;498.04
1.5;0.48;600;501.67
1.5;0.50;600;505.23
1.5;0.52;600;508.95
1.5;0.54;600;512.57
1.5;0.56;600;516.53
1.5;0.58;600;519.91
1.5;0.60;600;523.44
1.5;0.62;600;527.03
1.5;0.64;600;530.57
1.5;0.66;600;534.13
1.5;0.68;600;537.25
1.5;0.70;600;540.37
90;0.04;600;432.68
90;0.06;600;485.46
90;0.08;600;526.87
90;0.10;600;558.99
90;0.12;600;583.70
90;0.14;600;602.40
90;0.16;600;615.35
90;0.18;600;625.48
